TURN_NAME,TEXT
Ses05M_impro05_M000,Hi. Um-  My luggage didn't come out of the conveyor thingy.
Ses05M_impro05_F000,Hmm. Hmm.
Ses05M_impro05_M001,"So, um, what do I do?"
Ses05M_impro05_F001,How long ago was that?
Ses05M_impro05_M002,"Uh- Like, an hour and a half ago.  I talked to somebody who was standing out there and they said wait.  Sometimes like random butt- pieces come out late."
Ses05M_impro05_F002,Uh-Hmm.
Ses05M_impro05_M003,"And so I waited there, but nothing came."
Ses05M_impro05_F003,"Um, okay.  Well, you can fly- file a claim.  Where were you coming from?"
Ses05M_impro05_M004,"I was coming from um the Midwest, like Iowa."
Ses05M_impro05_F004,"So, within the country, though? umm"
Ses05M_impro05_M005,"Yeah, I know I was in the country.  I mean, it's not that complicated."
Ses05M_impro05_F005,"Yeah, well the chances of it being lost forever, you know, are slight because -- -- you were in the --"
Ses05M_impro05_M006,"Well, I would hope so."
Ses05M_impro05_F006,"Well, I mean, you know that happens pretty often that sometimes baggage -- -- gets lost."
Ses05M_impro05_M007,People lose --
Ses05M_impro05_M008,forever?
Ses05M_impro05_F007,yeah.
Ses05M_impro05_M009,"You know, this is actually, I mean it's -- it's a really important piece of luggage."
Ses05M_impro05_F008,Okay.
Ses05M_impro05_M010,"I mean, it's not big or anything like that.  I mean, it's not worth a lot of money or anything."
Ses05M_impro05_F009,Did you have insurance on your flight?
Ses05M_impro05_M011,"No.  I mean, don't you get insurance when you buy your ticket or something?"
Ses05M_impro05_F010,"No, you have to buy it now.  It's like thirty dollar extra."
Ses05M_impro05_M012,"Well, no one even told me about that.  Like, why would I think to buy insurance?  I was- It's like a three hour flight."
Ses05M_impro05_F011,"well, it's something that worth"
Ses05M_impro05_F012,"yeah, I don't know."
Ses05M_impro05_M013,"How can you lose my luggage like from like, in --"
Ses05M_impro05_F013,Chances are it's probably just you know -- taking time being um- unloaded from the airplane.
Ses05M_impro05_M014,-- four hundred miles?
Ses05M_impro05_M015,"I should hope so.  You know, I need that today."
Ses05M_impro05_F014,"Um, well, there's not much I can do.  I can, you can file this report and we'll call you when it comes in."
Ses05M_impro05_M016,"Let me explain to you what the problem is.  My grandfather's remains are in that bag.  And I have to, like, distribute them today.  We're suppose to, you know, throw them out to the sea today."
Ses05M_impro05_F015,wow.
Ses05M_impro05_F016,"Wow.  Well, that's really important, obviously.  But, um --"
Ses05M_impro05_M017,"Yeah.  I mean, if you have a suggestion, like, it would be great to help me out here."
Ses05M_impro05_F017,"Uh- Actually, I don't know that that's legal. Um- it is the issue"
Ses05M_impro05_M018,"Well, I don't care if it's legal.  It's happened.  It's already done."
Ses05M_impro05_F018,"Yeah I mean, Your bag might have been confiscated because it's --"
Ses05M_impro05_M019,"Well, could you tell me if it's been confiscated then."
Ses05M_impro05_F019,-- it's a biohazard. so- um
Ses05M_impro05_M020,"I mean, some information here would be great.  Some help.  Can you, like, type something in and find out?"
Ses05M_impro05_F020,Yeah.  Let me just call security.
Ses05M_impro05_M021,That would be great.  Thank you very much.
Ses05M_impro05_F021,[LAUGHTER] Okay.  Hold on.
Ses05M_impro05_M022,Thank you
