TURN_NAME,TEXT
Ses05F_impro03_F000,"Okay, so big news."
Ses05F_impro03_M000,What?
Ses05F_impro03_M001,"Come on, what?"
Ses05F_impro03_F001,I'm getting married.
Ses05F_impro03_M002,Shut up.
Ses05F_impro03_F002,Yeah.
Ses05F_impro03_M003,No way.
Ses05F_impro03_F003,Yeah.
Ses05F_impro03_M004,He asked you?
Ses05F_impro03_F004,Uh-huh.
Ses05F_impro03_M005,"No way, when? when,when, When did it happen?"
Ses05F_impro03_F005,Just a couple days ago.
Ses05F_impro03_M006,Oh my gosh.
Ses05F_impro03_F006,[LAUGHTER]
Ses05F_impro03_M007,And you actually said yes.  I can't believe it.  I never thought you would get married.
Ses05F_impro03_F007,I know me neither.
Ses05F_impro03_M008,Oh my gosh.
Ses05F_impro03_F008,"Right, I thought I would be way older too. I thought I would be I be at least thirty something."
Ses05F_impro03_M009,Oh absolutely.
Ses05F_impro03_M010,"Well, we always said we'd be in our thirtieth when we got married. And we were going to get married to each other if we didn't by then"
Ses05F_impro03_F009,Yeah.
Ses05F_impro03_F010,"I know, right. What'd we say, when we were thirty nine?"
Ses05F_impro03_M011,"Thirty nine, yeah.  I can't believe it.  So you broke our pact. Thanks a lot."
Ses05F_impro03_F011,Sorry.
Ses05F_impro03_M012,"Thanks a lot.  Well, okay, you've got to tell me the details.  What did he say?  Where was it?  What happened?"
Ses05F_impro03_F012,"Um, Well, uh, I don't-I don't know how much planning he had done."
Ses05F_impro03_M013,"Okay.  That's okay, spontaneous is great.  Spontaneous is awesome."
Ses05F_impro03_FXX0,"Actually, but--"
Ses05F_impro03_F013,It was really beautiful.
Ses05F_impro03_M014,You've got to love that.
Ses05F_impro03_F014,"Yeah, we went to a really great jazz show, and um-"
Ses05F_impro03_M015,"Nice, you love the jazz."
Ses05F_impro03_F015,"Yeah, and after, we went up to this um, this place like a restaurant on the roof kind of thing."
Ses05F_impro03_M016,"Oh, okay, yeah."
Ses05F_impro03_F016,So you know like late dinner and champagne and what not.
Ses05F_impro03_M017,Were you in Chicago?
Ses05F_impro03_F017,Mm-hmm.
Ses05F_impro03_M018,"Downtown, was it beautiful? of course it was beautiful"
Ses05F_impro03_FXX1,yeah--
Ses05F_impro03_F018,"so beautiful, full moon."
Ses05F_impro03_M019,"What a guy.  I can't believe it.  So okay, so do you know any details?  When's it going to be?  Anything?"
Ses05F_impro03_F019,I don't know.  I guess next summer.
Ses05F_impro03_M020,Am I in it?
Ses05F_impro03_F020,"Yeah.  Yeah, of course."
Ses05F_impro03_M021,"Okay, I certainly hope so, of course."
Ses05F_impro03_F021,So next fall I guess.
Ses05F_impro03_M022,Next fall.
Ses05F_impro03_F022,"Yeah, I like the autumn."
